npi,depression,tobacco,weight,bloodpressure,comparingmeds,reduceheart
1578594750,,86,,,,
1508863630,,100,96,,,
1417040411,,,12,,,
1265464077,,94,45,,,
1992762215,,100,100,,,
1255333167,,100,,,,
1447285739,,100,100,,,
1285715409,,,100,100,,
1689755910,,94,24,,,
1710962543,,100,96,,,
1578570867,100,100,100,100,,
1679689376,,,100,,,
1124004585,,100,,,,
1306849138,,100,,,,
1558310771,,95,44,,,
1578609335,,100,100,,,
1134124456,,95,,,,88
1023054806,,100,,,,
1558439380,,100,,,,
1407897515,,100,93,,,
1811977903,,,100,,,
1336161736,,100,100,100,,
1770585838,,100,,,,
1124021852,,100,,,,
1164413159,,,,100,,
1346348000,,100,,,,
1417991068,,,99,,,
1407859747,,100,100,,,
1417956798,,97,,,,
1154438042,,,,74,,
1770582462,,,21,,,
1568408359,,100,,,,
1982641098,,94,24,,,
1144298134,,,99,,,
1629065610,,96,63,,,
1598828808,,60,13,,,
1518960780,,100,100,,,
1407965528,,,97,,,
1528027372,,98,90,,,
1609833409,,100,100,,,
1679513311,,,97,,,
1912903758,,98,,,,
1831260850,,100,,,,
1013003342,,100,98,,,
1871565267,,82,46,,,
1811980998,,100,49,,,
1164423489,,100,,100,100,
1083620835,,,,100,,
1962427005,,87,,,,
1750494274,,97,,,,
1295793016,,100,58,,,
1447288022,42,91,,96,,84
1659343721,,,,100,,
1346223435,,,,100,,
1699719021,,100,,,,
1205894938,,,,0,,
1629061924,,96,,,,
1619966637,,,100,,,
1982645644,,99,,,,
1821091687,,75,,,,
1518983493,,100,,,,
1366413635,,100,,,,
1720026537,,100,76,,,
1225131196,,100,,,,
1790784247,,,33,,,
1700067915,,81,95,,,
1912900325,,,100,100,,
1760416531,,100,,,,
1629072244,,100,,,,
1962424903,,99,89,,,
1851341820,,100,63,,,
1881701761,,69,,,,
1023188869,,100,,,,
1881608933,,100,,,,
1528062379,,97,81,,,81
1871570218,,,84,,,
1164523908,,100,100,100,,
1568444172,,99,,,,
1154364149,,,,100,,
1689604357,,90,,,,
1558331454,,100,97,,,
1992757421,,97,,,,
1275508095,,100,,,,
1033184338,,100,,,,
1144358516,,100,70,,,
1831175009,,99,,98,,
1467434654,,100,99,,,
1447266655,,100,45,,,
1841282829,,100,,,,
1255323580,,100,,,,
1114927449,,,94,99,,100
1811939838,,100,,,,
1366536344,,75,,,,
1972530707,,100,,,,
1033106539,,93,,,,
1679549331,,90,,,,
1396792594,,100,100,,,
1548229693,,,100,,,
1033112263,,100,,,,
1114931037,,98,,,,
1912944950,,,0,,,
1548238173,,,,,,100
1699761478,,93,,80,,
1124055074,,,100,,,
1649353095,,100,,,,
1053393868,,44,54,12,,
1811940091,,100,,,,
1750356663,,100,100,,,
1073722278,,100,,,,
1366496085,,,,14,,
1972668747,,100,,,,
1528032521,,89,98,98,,
1457383986,,,100,,,
1457363657,,,100,,,
1487766929,,90,49,,,
1578542999,,100,100,,,
1790788008,,96,,,,
1033189477,,100,92,,,
1558329821,,,100,,,
1134123417,,100,100,,,
1255302873,100,,,,,
1740382613,,,33,,,
1437156072,,,100,,,
1255331146,,91,,,,
1790786176,,,100,,,
1821012261,,97,87,6,,
1962430314,100,100,100,,,
1467540328,,100,,,,
1891784112,,100,,,,
1821093345,,88,12,,,
1972547495,,100,,,,
1962495010,,100,100,100,,
1235130071,,100,49,,,
1740283829,,84,,,,
1588626410,,100,100,89,,
1366416661,,100,,,,
1578652806,,99,,,,
1659372324,,,98,,,
1720016793,,100,100,,,
1952401697,,100,,,,
1548254089,,100,,,,
1922073428,,97,50,,,
1386607653,,,97,,,
1073589040,,84,32,,,
1467557538,,100,,,,
1811949530,,100,,,,
1053300095,100,99,78,,,
1821086927,,100,,,,
1174588685,,100,,,,
1083605273,,96,,,,
1932169083,,100,,,100,
1083642516,,,100,,,
1205938537,,,17,,,
1184697765,,,,,,97
1194729053,,94,99,,,
1760598072,100,100,,,,
1992847586,,100,47,,,
1710970629,,,96,,,
1285616375,,100,96,,,
1962502583,,,,0,,
1740276054,,100,,,,
1164489803,,96,,,,
1316977473,,100,100,,,100
1831141852,,,,100,,
1760481469,,,100,,,
1174522684,,100,,,,98
1619979275,,92,,,,
1114028495,,,88,,,
1073565487,,100,,,,
1861431348,,100,,,,
1205807591,,100,,,,
1629053053,,100,82,,,
1407836620,,100,99,,,
1376513366,,100,,,,
1639131493,,,76,,,
1942203310,,100,,100,,
1609958990,,100,,,,
1881615706,,100,,,,
1134123169,,,94,,,
1861471914,,100,,,,
1912909870,,100,91,99,,
1801836606,,,,18,,
1780681239,,100,,,,
1386647568,,90,69,,,
1871504720,,,100,,,
1083653133,,,,0,,
1104867779,,92,,,,
1780601674,,93,,,,
1326028481,,,83,52,,
1477570927,,100,,,,
1659363315,,100,,,,
1750575619,,100,,,,
1326043928,,,,99,,
1588788400,,100,,,,
1992897045,,,100,,,
1982678223,,100,,,,
1003013236,,100,,,,
1518165521,,100,,,,
1548468846,,95,,,,
1801998109,,96,,,,
1548360530,,,93,,,
1467405951,100,100,100,100,,96
1972501260,,100,,,,
1346277746,0,100,42,,,80
1689876005,,,98,,,
1043288483,,100,,,,
1710174081,,100,,65,,
1962480335,,96,,,,
1366645178,,100,100,,,
1720065881,,,100,,,
1659364164,,100,,,,
1770551715,,86,,,,
1356468672,,100,,,,
1164483954,,95,,,,
1730393877,,,96,,,
1609912328,,100,80,,,
1285617266,,,38,,,
1023093432,,100,,,,
1821076860,,92,,,,
1366401812,,100,,,,
1932132180,,100,,,,
1316990096,,,48,,,
1700822012,,100,,,,
1518083757,,,,96,,
1245243955,100,,100,,,
1124244652,,,68,,,
1558424671,71,100,,,,
1346289493,,100,,,,
1841210739,,99,51,,100,93
1962452185,,100,,,,
1538399027,100,100,100,,,
1922205475,,100,91,93,,
1326187683,,100,,,,
1558681734,,90,,,,
1992909980,,98,,,,
1780784538,,,,14,,
1013909019,,100,99,,,
1336462035,,,100,,,
1912063728,,97,3,,,
1396754586,,,,94,,
1720007537,,95,49,,,
1740299270,,,60,,,
1184887580,,96,,,,
1598086266,,,100,,,
1881742641,,99,,,,
1659360998,100,100,100,,,
1437235934,,,,20,,
1023017522,,100,100,,,
1588714851,,89,62,,,
1932131273,,89,34,,,
1700869401,0,100,37,,,
1730208570,,,100,,,
1740282839,,100,,,,
1790780286,,96,,,,
1639150444,,100,,,,
1568486876,,100,49,,,
1760652184,,100,100,100,,
1922064401,,100,72,,,
1710925029,,,97,,,
1366409088,,97,54,,,
1801898119,,100,,,,
1679539811,,77,40,,,
1255327631,,,40,,,
1427146521,,100,,,,
1275510828,,100,,100,,
1144550500,,,97,,,
1265544183,,100,100,,,
1932115763,,,94,,,
1528390325,,,100,,,
1346321429,,96,,,,
1336333509,,90,,,,
1487666921,,100,,,,
1538158357,,100,,,,
1215260112,,,97,,,
1619081684,,,84,,,
